name			NZMean_1	NZcount_1	NZSigma_1	NZMean_2	NZcount_2	NZSigma_2	NZMean_3	NZcount_3	NZSigma_3	NZMean_4	NZcount_4	NZSigma_4	NZMean_5	NZcount_5	NZSigma_5	NZMean_6	NZcount_6	NZSigma_6	NZMean_7	NZcount_7	NZSigma_7	NZMean_8	NZcount_8	NZSigma_8	NZMean_9	NZcount_9	NZSigma_9	NZMean_10	NZcount_10	NZSigma_10	NZMean_11	NZcount_11	NZSigma_11	NZMean_12	NZcount_12	NZSigma_12	NZMean_13	NZcount_13	NZSigma_13	NZMean_15	NZcount_15	NZSigma_15	NZMean_16	NZcount_16	NZSigma_16	NZMean_17	NZcount_17	NZSigma_17	NZMean_18	NZcount_18	NZSigma_18	NZMean_19	NZcount_19	NZSigma_19
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_10[VGSerrorD]			-0.097262	171	0.101915	-0.032355	171	0.071181	-0.068649	55	0.114333	0.048987	57	0.076730	-0.088956	171	0.083213	-0.045543	171	0.096054	-0.021675	56	0.080902	-0.058696	52	0.048635	-0.010727	254	0.115791	0.053227	256	0.126802	-0.022818	171	0.111495	-0.040555	171	0.086143	0.015062	324	0.101421	-0.055190	257	0.094811	0.010652	257	0.080623	0.012044	171	0.087096	-0.062777	171	0.072361	-0.123965	171	0.134464
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_11[ASstartCu]			0.171672	171	0.152820	0.063369	171	0.132274	-0.050781	55	0.133525	0.185668	57	0.214258	0.623641	171	0.198331	0.282410	171	0.243582	0.004526	56	0.073607	-0.033416	52	0.053135	0.312057	254	0.187051	0.156922	256	0.204501	0.139547	171	0.165628	0.117548	171	0.258856	0.012590	324	0.103287	-0.015464	257	0.157308	-0.080189	257	0.091480	0.114825	171	0.130630	0.101674	171	0.116643	0.179395	171	0.152314
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_12[ASendCue#]			0.168285	171	0.097697	0.049449	171	0.079023	0.200526	55	0.109097	0.184400	57	0.139540	0.380241	171	0.151923	0.132651	171	0.154431	0.118602	56	0.059589	0.112882	52	0.053048	0.197086	254	0.149526	0.111938	256	0.142659	0.178715	171	0.146213	0.181905	171	0.122583	0.157753	324	0.143768	0.118040	257	0.088475	0.132545	257	0.065146	0.144873	171	0.107866	0.209787	171	0.108265	0.257437	171	0.183728
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_13[VGSstartC]			-0.010162	171	0.082368	0.001386	171	0.089222	-0.238360	55	0.117151	-0.142468	57	0.114813	0.149234	171	0.106122	0.083110	171	0.135424	0.010882	56	0.061852	-0.012409	52	0.059221	0.017261	254	0.099793	-0.104009	256	0.101720	-0.017301	171	0.122229	0.137885	171	0.152306	-0.058181	324	0.117529	-0.043529	257	0.076386	-0.052861	257	0.085666	0.011256	171	0.090633	0.057541	171	0.085753	-0.055052	171	0.186382
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_14[VGSendCue]			0.047687	171	0.091290	-0.001158	171	0.056902	0.071898	55	0.106102	0.060146	57	0.113936	0.081318	171	0.095781	0.028339	171	0.084130	0.035493	56	0.052047	0.037808	52	0.045312	0.087885	254	0.086201	-0.046119	256	0.160448	0.088307	171	0.082594	-0.043803	171	0.083209	0.103512	324	0.123550	0.104210	257	0.099767	0.038637	257	0.093795	0.058509	171	0.090551	0.085054	171	0.075125	0.136280	171	0.129874
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_15[rx#0]			1.822584	171	15.938286	6.274230	171	17.124324	20.973354	55	14.898181	15.193938	57	18.374616	18.151654	171	13.731065	23.746750	171	18.875447	23.575120	56	7.649215	32.703200	52	16.731526	5.328465	254	23.102576	20.932835	256	38.555930	-0.271390	171	20.679707	7.336928	171	17.812375	-5.275204	324	29.859424	20.209599	257	18.452333	13.921384	257	16.940577	-24.105409	171	37.675629	-2.385906	171	27.974248	39.610206	171	40.791273
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_16[ry#0]			15.186842	171	33.372730	4.625247	171	27.655049	14.244363	55	92.594168	-58.952324	57	63.387378	8.828755	171	38.696953	-6.040531	171	27.010378	-0.990059	56	21.812605	-25.924362	52	24.286497	24.942974	254	34.531074	10.940962	256	55.954894	-31.399382	171	59.883984	-31.164885	171	65.946215	37.896748	324	46.660062	-3.038884	257	31.723644	8.029091	257	29.846850	48.614004	171	40.428027	2.117194	171	35.703330	15.045495	171	54.845930
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_17[rz#0]			-13.057707	171	34.542461	-18.832967	171	34.362081	-60.459930	55	53.654486	9.458157	57	56.283734	-99.506596	171	46.302786	-54.114951	171	61.498167	-45.116950	56	24.211500	-77.115223	52	40.818214	-60.309702	254	47.159757	-47.120628	256	75.995107	-29.101377	171	61.286742	-100.779287	171	58.769607	-108.721484	324	141.703134	-13.220751	257	52.373167	-17.803396	257	39.760419	-1.548498	171	60.146729	51.201810	171	49.987457	-42.262338	171	50.025041
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_18[dx#0]			0.006246	171	0.665688	0.187376	171	0.581012	0.844350	55	1.475373	-0.901015	57	1.312845	1.281863	171	0.596203	0.197127	171	0.490674	0.180252	56	0.507663	0.269510	52	0.527118	1.237205	254	0.605899	0.976670	256	0.910673	0.508110	171	0.980472	0.769873	171	0.796491	0.880576	324	2.148197	-0.157183	257	0.625487	-0.597081	257	0.776905	0.053888	171	0.733367	-0.984495	171	0.581251	0.109108	171	1.433732
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_19[dy#0]			-0.503675	171	0.338168	-0.230146	171	0.257188	0.008200	55	0.696620	0.103370	57	0.381702	0.120551	171	0.339006	-0.114622	171	0.330967	-0.408495	56	0.227826	-0.063635	52	0.219585	-0.244794	254	0.323270	-0.153531	256	0.420300	-0.148636	171	0.382705	0.017570	171	0.338744	0.560437	324	0.335709	-0.179778	257	0.316230	-0.304941	257	0.227613	0.069121	171	0.636592	-0.179936	171	0.369268	-0.359343	171	0.511921
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_20[dz#0]			0.707309	171	0.737100	0.190166	171	0.330912	0.611478	55	0.536548	0.732438	57	0.511845	0.451126	171	0.249047	0.577724	171	0.336459	0.349658	56	0.274560	0.379316	52	0.281278	0.674749	254	0.630107	0.321399	256	0.694613	0.680569	171	0.608227	0.189446	171	0.739288	-0.121652	324	0.352285	0.367909	257	0.447518	0.333782	257	0.429914	0.019743	171	0.367061	0.037357	171	0.497743	-0.099537	171	0.696787
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_0[Run#1Pol#]			100.328305	171	0.189947	100.202720	171	0.104317	100.639856	55	0.309603	100.531319	57	0.211574	100.482773	171	0.138343	100.353830	171	0.144869	100.323591	56	0.064888	100.253179	52	0.119535	100.355657	254	0.143994	100.440004	256	0.306235	100.292862	171	0.206702	100.332486	171	0.289052	100.166298	324	0.293101	100.254059	257	0.134190	100.214263	257	0.113082	100.258050	171	0.218075	100.201159	171	0.158388	100.658520	171	0.367863
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_1[Run#1Pol#]			0.252328	171	0.200302	0.079339	171	0.112117	0.322689	55	0.296568	0.198365	57	0.123471	0.004972	171	0.080151	0.135739	171	0.127024	0.089865	56	0.056305	0.116153	52	0.070621	0.200846	254	0.168849	0.248657	256	0.257734	0.231102	171	0.146013	0.218411	171	0.124071	0.012864	324	0.167203	0.228156	257	0.085918	0.212205	257	0.091969	-0.026449	171	0.119251	-0.125242	171	0.100276	0.097853	171	0.157736
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_2[Run#2Pol#]			100.071471	171	0.083523	100.009495	171	0.081607	100.042528	55	0.111387	99.927948	57	0.130338	100.096043	171	0.091192	100.032593	171	0.078412	99.987057	56	0.045450	100.016425	52	0.039721	100.106898	254	0.080192	100.136627	256	0.078509	100.159253	171	0.077162	100.154569	171	0.061954	99.973171	324	0.112701	99.994841	257	0.067681	100.002737	257	0.068290	100.093018	171	0.098438	100.088239	171	0.104238	100.046564	171	0.087873
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_3[Run#2Pol#]			-0.393815	171	0.442082	-0.173871	171	0.144451	-0.582801	55	0.466598	-0.678481	57	0.249087	-0.689870	171	0.211418	-0.353119	171	0.156609	-0.279805	56	0.105053	-0.317609	52	0.131403	-0.509930	254	0.280414	-0.524413	256	0.342938	-0.507613	171	0.333917	-0.357523	171	0.216602	-0.205104	324	0.234670	-0.265682	257	0.140171	-0.238871	257	0.103215	-0.418850	171	0.222757	-0.478847	171	0.282893	-0.742523	171	0.454060
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_4[Run#3Pol#]			99.748537	171	0.188129	99.847099	171	0.127037	99.401982	55	0.331859	99.455264	57	0.228832	99.644523	171	0.167140	99.712854	171	0.140830	99.791865	56	0.070209	99.877176	52	0.087872	99.825178	254	0.137910	99.817883	256	0.212129	99.929259	171	0.204088	99.885785	171	0.277336	99.858233	324	0.247637	99.764235	257	0.134494	99.830305	257	0.128816	99.926278	171	0.203874	99.951952	171	0.186381	99.603699	171	0.284585
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_5[Run#3Pol#]			-0.339932	171	0.472510	-0.136421	171	0.142573	-0.482918	55	0.372783	-0.796477	57	0.349709	-0.431439	171	0.184427	-0.289342	171	0.193676	-0.343885	56	0.152116	-0.377658	52	0.190614	-0.421012	254	0.289584	-0.341974	256	0.411976	-0.515262	171	0.470803	-0.190911	171	0.271832	-0.108215	324	0.238054	-0.313892	257	0.171393	-0.275085	257	0.151488	-0.266583	171	0.255375	-0.311714	171	0.277417	-0.681866	171	0.465796
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_6[Run#4Pol#]			99.843308	171	0.137613	99.902807	171	0.045883	99.773572	55	0.232134	99.705692	57	0.210945	99.756921	171	0.096032	99.802700	171	0.075619	99.940888	56	0.047373	99.899587	52	0.041901	99.793028	254	0.097926	99.792323	256	0.165253	99.871995	171	0.121261	99.905444	171	0.063029	99.845155	324	0.117866	99.913387	257	0.070441	99.880291	257	0.052643	99.853266	171	0.081291	99.846317	171	0.077593	99.715805	171	0.181731
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_7[Run#4Pol#]			-0.074877	171	0.192324	0.053890	171	0.123392	-0.004980	55	0.206257	-0.054319	57	0.185483	-0.033267	171	0.142857	-0.014715	171	0.216791	0.009241	56	0.078829	-0.032258	52	0.086464	-0.054360	254	0.167023	0.053770	256	0.220702	-0.099220	171	0.219859	0.022583	171	0.109150	0.151138	324	0.358228	-0.078184	257	0.106451	-0.007668	257	0.093975	0.164873	171	0.255647	0.089264	171	0.239845	0.057046	171	0.206643
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_8[AScorr#0]			-0.014770	171	0.028211	0.004778	171	0.023970	-0.028697	55	0.045661	-0.024279	57	0.034433	-0.065302	171	0.036209	-0.037467	171	0.033515	-0.050515	56	0.027990	-0.030597	52	0.019465	-0.027621	254	0.036710	-0.032516	256	0.039569	-0.095331	171	0.069386	-0.080490	171	0.065686	-0.010936	324	0.038367	-0.038541	257	0.028960	-0.035009	257	0.028792	-0.063382	171	0.041994	-0.059663	171	0.041848	-0.071923	171	0.063519
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_9[ASerrorCo]			-0.009115	171	0.025076	0.003444	171	0.023819	-0.041140	55	0.059307	-0.018031	57	0.078382	-0.016822	171	0.050794	0.000168	171	0.033326	-0.039898	56	0.021498	-0.045053	52	0.027989	-0.020097	254	0.046197	-0.028158	256	0.039828	-0.077691	171	0.068259	-0.070835	171	0.045708	0.027147	324	0.048127	0.005785	257	0.036443	-0.015108	257	0.030770	-0.009806	171	0.033005	-0.012128	171	0.020561	-0.037738	171	0.053888
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_10[ASerrorUn]			0.122635	171	0.089866	0.135982	171	0.067521	0.216835	55	0.121233	0.290585	57	0.170517	0.260764	171	0.089207	0.161562	171	0.088308	0.051067	56	0.047479	0.071018	52	0.055505	0.127330	254	0.085317	0.176319	256	0.132640	0.083432	171	0.054797	0.081715	171	0.097317	0.161251	324	0.200359	0.063339	257	0.102256	0.124706	257	0.083545	0.202761	171	0.053159	0.176251	171	0.098592	0.354463	171	0.180341
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_11[VGScorr#0]			0.026798	171	0.028145	0.021476	171	0.026655	0.116109	55	0.060587	0.159980	57	0.081912	0.017876	171	0.039158	0.034250	171	0.036290	0.051989	56	0.017649	0.045360	52	0.024007	0.005444	254	0.030338	-0.018709	256	0.032534	0.006200	171	0.044778	-0.027333	171	0.035291	0.053828	324	0.044057	0.048841	257	0.037491	0.052843	257	0.027646	-0.021575	171	0.031276	-0.019195	171	0.023970	0.064844	171	0.047589
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_12[VGSerrorD]			-0.151096	171	0.126634	-0.076763	171	0.063058	-0.535098	55	0.240729	-0.412628	57	0.181957	-0.318907	171	0.088847	-0.226941	171	0.128662	-0.096389	56	0.075831	-0.179299	52	0.073849	-0.166331	254	0.142274	-0.225700	256	0.262500	-0.280036	171	0.138868	-0.270271	171	0.168416	-0.234772	324	0.247056	-0.132235	257	0.102497	-0.136500	257	0.104120	-0.217637	171	0.176844	-0.140292	171	0.140249	-0.525737	171	0.317504
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_13[ASstartCu]			0.111732	171	0.109725	0.070002	171	0.068074	0.117655	55	0.088655	0.143044	57	0.078031	0.257068	171	0.134260	0.204530	171	0.129923	0.026177	56	0.046336	0.023950	52	0.053909	0.112834	254	0.089762	0.137645	256	0.120862	0.144538	171	0.109314	0.261518	171	0.168277	0.026193	324	0.095056	0.126342	257	0.071406	0.110487	257	0.063071	0.155765	171	0.070659	0.152186	171	0.076190	0.033394	171	0.091940
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_14[ASendCue#]			-0.128543	171	0.109187	-0.066294	171	0.098238	-0.108782	55	0.164781	-0.001002	57	0.088301	0.030833	171	0.072975	-0.032267	171	0.094289	-0.026950	56	0.062653	-0.017521	52	0.070094	-0.040503	254	0.093318	-0.053155	256	0.116909	0.006012	171	0.091179	-0.013254	171	0.120934	-0.040134	324	0.096872	0.005398	257	0.083882	0.015409	257	0.110285	0.048586	171	0.077567	0.085680	171	0.076613	0.044614	171	0.130692
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_15[VGSstartC]			-0.157159	171	0.125366	-0.120213	171	0.103768	-0.567616	55	0.311910	-0.586637	57	0.207275	0.036266	171	0.087451	0.055375	171	0.096937	-0.231258	56	0.063151	-0.205303	52	0.093389	-0.081963	254	0.099912	-0.166714	256	0.126915	-0.281844	171	0.169091	-0.067421	171	0.098927	-0.242065	324	0.132444	-0.235325	257	0.109678	-0.272683	257	0.102838	-0.179300	171	0.162613	-0.103098	171	0.077243	-0.364088	171	0.221723
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_16[VGSendCue]			0.062858	171	0.110597	0.010115	171	0.096129	0.124299	55	0.199829	0.338649	57	0.189407	0.137862	171	0.110055	0.163357	171	0.093866	0.101615	56	0.073301	0.152333	52	0.085557	0.018090	254	0.115090	0.073599	256	0.119643	0.096196	171	0.118958	0.108212	171	0.096846	0.153598	324	0.180057	0.110539	257	0.076808	0.170920	257	0.085165	0.080226	171	0.071957	0.082930	171	0.094329	0.238837	171	0.112357
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_17[rx#0]			3.425535	171	21.078492	1.134178	171	13.425337	10.091478	55	26.247528	42.889443	57	20.932250	12.725681	171	14.518107	6.136666	171	17.885474	24.925030	56	8.582716	18.468564	52	23.808191	1.363522	254	19.339626	-7.989232	256	31.808545	3.712490	171	33.262937	-12.926749	171	20.835674	-3.691935	324	30.195657	15.994783	257	15.203681	4.601631	257	14.009889	-1.542201	171	21.144274	6.556143	171	15.909203	30.487611	171	23.196892
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_18[ry#0]			-53.694095	171	43.349536	-34.530397	171	16.887192	-72.120327	55	64.608040	-77.255276	57	37.612722	-108.476452	171	25.777996	-64.168627	171	28.134650	-30.010223	56	12.143318	-37.755909	52	13.482569	-82.285262	254	32.151185	-89.109261	256	51.585490	-58.571719	171	37.256694	-53.025821	171	33.800777	-40.826321	324	39.370597	-18.772331	257	16.521694	-24.369770	257	15.401189	-75.509086	171	21.676764	-83.163480	171	26.550369	-116.555482	171	68.800708
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_19[rz#0]			90.142215	171	81.088175	57.617286	171	48.187445	230.428699	55	116.159061	265.416047	57	99.075002	160.874687	171	52.224124	87.441316	171	57.443237	154.968760	56	34.520716	130.474017	52	40.982913	109.586940	254	59.601650	125.070922	256	112.919849	132.934830	171	70.167727	91.914242	171	74.456023	97.374561	324	144.093842	80.717411	257	40.631363	91.228494	257	38.875896	123.783522	171	73.767616	114.439520	171	61.744872	240.787243	171	117.763560
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_20[dx#0]			-1.112165	171	0.809762	-0.706732	171	0.424907	-2.612389	55	1.569429	-2.919453	57	1.656038	-1.372919	171	0.512978	-1.169457	171	0.783863	-1.450095	56	0.433183	-1.429695	52	0.302077	-1.467939	254	0.503800	-1.813779	256	1.540448	-1.622854	171	0.684868	-1.258981	171	0.719031	-1.318652	324	1.841213	-0.854181	257	0.518537	-1.339204	257	0.489455	-1.276232	171	0.990679	-0.935041	171	0.959698	-2.758563	171	1.464232
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_21[dy#0]			-0.380151	171	0.435801	-0.397272	171	0.360070	-1.086998	55	0.839526	-0.341353	57	0.796111	-0.608478	171	0.533358	-0.600419	171	0.501347	-0.133123	56	0.332300	0.134806	52	0.289038	-0.271319	254	0.625997	-0.494133	256	1.024418	0.252966	171	0.832674	-0.375103	171	1.138963	-0.309503	324	0.800204	-0.295958	257	0.518888	-0.178113	257	0.474919	-0.104002	171	0.963372	0.089231	171	0.977706	-0.607676	171	0.957253
10124/070829162646/analysis/glm_hrf_coefs.nii.gz_22[dz#0]			0.572187	171	0.522185	0.194496	171	0.167302	1.060081	55	0.608218	0.986884	57	0.322263	0.425409	171	0.177986	0.431761	171	0.196440	0.468480	56	0.102817	0.429808	52	0.132314	0.487521	254	0.294146	0.503832	256	0.410917	0.640987	171	0.397682	0.449434	171	0.205668	0.121469	324	0.240292	0.536111	257	0.167240	0.487548	257	0.186684	0.087077	171	0.203639	-0.001037	171	0.159097	0.628812	171	0.391492
10125/061021110730/analysis/glm_hrf_coefs.nii.gz_0[Run#1Pol#]			99.967832	171	0.075811	99.935843	171	0.081383	99.889169	55	0.063809	99.784880	57	0.139155	99.975478	171	0.076547	99.988705	171	0.059883	100.016409	56	0.047025	100.020243	52	0.038562	100.081740	254	0.103037	100.208853	256	0.238457	100.031373	171	0.062610	100.111600	171	0.076424	99.792088	324	0.099564	100.016628	257	0.061182	100.032836	257	0.055869	99.980986	171	0.079376	99.966774	171	0.058433	100.006841	171	0.085331
10125/061021110730/analysis/glm_hrf_coefs.nii.gz_1[Run#1Pol#]			-0.251433	171	0.150493	-0.109462	171	0.102996	-0.092291	55	0.156296	-0.226896	57	0.181154	-0.378047	171	0.158653	-0.222692	171	0.111344	-0.070523	56	0.086512	-0.021749	52	0.116798	-0.382905	254	0.193206	-0.192852	256	0.479589	-0.368302	171	0.134120	-0.241138	171	0.151807	-0.121621	324	0.147249	-0.194878	257	0.132694	-0.155033	257	0.125728	-0.087977	171	0.165304	-0.150336	171	0.233799	-0.391217	171	0.160577
10125/061021110730/analysis/glm_hrf_coefs.nii.gz_2[Run#2Pol#]			99.926605	171	0.073964	99.990400	171	0.045955	100.167245	55	0.093773	100.138502	57	0.095136	99.898831	171	0.062215	99.907718	171	0.076117	100.039295	56	0.049126	100.038478	52	0.059760	99.853434	254	0.160742	99.896213	256	0.131046	99.850710	171	0.096582	99.887902	171	0.082169	99.860477	324	0.105163	100.041519	257	0.077885	100.030919	257	0.063067	100.001159	171	0.057804	99.970553	171	0.088470	99.985148	171	0.089816
10125/061021110730/analysis/glm_hrf_coefs.nii.gz_3[Run#2Pol#]			-0.310431	171	0.219701	-0.091843	171	0.123819	-0.069725	55	0.167381	-0.139231	57	0.251728	-0.464373	171	0.160456	-0.387351	171	0.160316	-0.275828	56	0.149680	-0.198034	52	0.219035	-0.415862	254	0.247666	-0.630697	256	0.791828	-0.334428	171	0.157465	-0.432334	171	0.235879	-0.147264	324	0.152329	-0.219636	257	0.134473	-0.235113	257	0.137717	-0.133022	171	0.205919	-0.141612	171	0.244911	-0.513439	171	0.206541
10125/061021110730/analysis/glm_hrf_coefs.nii.gz_4[Run#3Pol#]			99.890787	171	0.069009	99.925157	171	0.093307	99.892856	55	0.041639	99.864304	57	0.068703	99.831767	171	0.082586	99.845357	171	0.101643	99.898573	56	0.058623	99.951146	52	0.045780	99.888692	254	0.142011	99.880717	256	0.159247	99.869916	171	0.095183	99.882484	171	0.097930	99.685614	324	0.123997	100.009316	257	0.054977	99.986372	257	0.066974	99.968413	171	0.053838	99.977507	171	0.042264	99.913500	171	0.058878
10125/061021110730/analysis/glm_hrf_coefs.nii.gz_5[Run#3Pol#]			-0.348062	171	0.341944	-0.058979	171	0.193864	-0.119524	55	0.179985	-0.012188	57	0.444391	-0.707875	171	0.242484	-0.640254	171	0.293081	-0.566770	56	0.246260	-0.371550	52	0.213002	-0.793860	254	0.580658	-1.222238	256	1.416806	-0.614534	171	0.349813	-0.873455	171	0.451696	-0.316737	324	0.291307	-0.193551	257	0.215570	-0.314824	257	0.222988	-0.115439	171	0.329168	-0.091257	171	0.293263	-0.616776	171	0.328748
